Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Isolate	Organism Infraspecific Names Strain	Assembly Release Date	Assembly BioSample Accession	Assembly BioSample Isolate	Assembly BioSample Strain	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Latitude and Longitude	Assembly BioSample Collection date	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Ecotype	Assembly Atypical Is Atypical	Assembly Atypical Warnings	Assembly Type
GCA_021811485.1	archaeon	1906665	MAS5.bin16		2022-02-01	SAMN20843722	MAS5.bin16		acid mine drainage sediment	China: Maanshan Magnetite Mine, Anhui Province	31.678001 N 118.628012 E	2017-10-01						haploid
GCA_021811935.1	archaeon	1906665	YF1.bin89		2022-02-01	SAMN20844505	YF1.bin89		acid mine drainage sediment	China: Yunfu Pyrite Mine, Guangdong Province	22.964803 N 112.014426 E	2017-10-01						haploid
GCA_021817005.1	archaeon	1906665	YP4.bin50		2022-02-01	SAMN20844674	YP4.bin50		acid mine drainage sediment	China: Yongping Copper Mine, Jiangxi Province	28.191444 N 117.766801 E	2017-10-01						haploid
GCA_021817205.1	archaeon	1906665	YP4.bin118		2022-02-01	SAMN20844657	YP4.bin118		acid mine drainage sediment	China: Yongping Copper Mine, Jiangxi Province	28.191444 N 117.766801 E	2017-10-01						haploid
GCA_021819035.1	archaeon	1906665	YP1.bin46		2022-02-01	SAMN20844572	YP1.bin46		acid mine drainage sediment	China: Yongping Copper Mine, Jiangxi Province	28.19111 N 117.766944 E	2017-10-01						haploid
GCA_021819105.1	archaeon	1906665	YP1.bin45		2022-02-01	SAMN20844571	YP1.bin45		acid mine drainage sediment	China: Yongping Copper Mine, Jiangxi Province	28.19111 N 117.766944 E	2017-10-01						haploid
GCA_021822995.1	archaeon	1906665	YF1.bin6		2022-02-01	SAMN20844496	YF1.bin6		acid mine drainage sediment	China: Yunfu Pyrite Mine, Guangdong Province	22.964803 N 112.014426 E	2017-10-01						haploid
GCA_021823055.1	archaeon	1906665	YF1.bin3		2022-02-01	SAMN20844481	YF1.bin3		acid mine drainage sediment	China: Yunfu Pyrite Mine, Guangdong Province	22.964803 N 112.014426 E	2017-10-01						haploid
GCA_021823325.1	archaeon	1906665	YF1.bin121		2022-02-01	SAMN20844463	YF1.bin121		acid mine drainage sediment	China: Yunfu Pyrite Mine, Guangdong Province	22.964803 N 112.014426 E	2017-10-01						haploid
GCA_021824845.1	archaeon	1906665	WY4.bin39		2022-02-01	SAMN20844351	WY4.bin39		acid mine drainage sediment	China: Wuyi Polymetallic Mine, Guangxi Province	25.148969 N 107.500621 E	2017-10-01						haploid
GCA_015121965.1	Candidatus Acidifodinimicrobium mancum	2898728	FK_bin.410		2020-10-28	SAMN16278829	FK_bin.410		Fankou acid mine drainage	China: Guangdong	25.049028 N 113.663472 E	2017-10						haploid
GCA_015122025.1	Candidatus Acidifodinimicrobium mancum	2898728	TL1-5_bin.178		2020-10-28	SAMN16279525	TL1-5_bin.178		Tongling acid mine drainage	China: Anhui	31.568169 N 118.661033 E	2017-08						haploid
GCA_015122035.1	Candidatus Acidifodinimicrobium mancum	2898728	MAS1_bin.189		2020-10-28	SAMN16279541	MAS1_bin.189		Maanshan acid mine drainage	China: Anhui	32.136711 N 119.053981 E	2017-08						haploid
GCA_015122065.1	Candidatus Acidifodinimicrobium mancum	2898728	MAS2_bin.147		2020-10-28	SAMN16287645	MAS2_bin.147		Maanshan2 acid mine drainage	China: Anhui	32.136711 N 119.053981 E	2017-08						haploid
GCA_015122075.1	Candidatus Acidifodinimicrobium mancum	2898728	MAS3_bin.60		2020-10-28	SAMN16287646	MAS3_bin.60		Maanshan3 acid mine drainage	China: Anhui	32.136711 N 119.053981 E	2017-08						haploid
GCA_015520595.1	Candidatus Aciduliprofundum boonei	379547	S144_65_esom		2020-11-16	SAMN12837331	S144_65_esom		deep-sea hydrothermal deposit	Pacific Ocean	34.8610792 S 179.057703 E	2018-03						haploid
GCA_015520815.1	Candidatus Aciduliprofundum boonei	379547	S143_99		2020-11-16	SAMN12837321	S143_99		deep-sea hydrothermal deposit	Pacific Ocean	34.86107624 S 179.0576384 E	2018-03						haploid
GCA_015521405.1	Candidatus Aciduliprofundum boonei	379547	S142_21		2020-11-16	SAMN12837290	S142_21		deep-sea hydrothermal deposit	Pacific Ocean	34.86207984 S 179.0572892 E	2018-03						haploid
GCA_015523095.1	Candidatus Aciduliprofundum boonei	379547	S013_40		2020-11-16	SAMN12837209	S013_40		deep-sea hydrothermal deposit	Pacific Ocean	34.86107892 S 179.0576362 E	2018-03						haploid
GCA_012961335.1	Candidatus Aenigmatarchaeota archaeon	3121606	UWMA-0246		2020-05-04	SAMN10967584	UWMA-0246		Mid-Cayman Rise Vent Fluids	Atlantic Ocean:Mid Cayman Rise	18.375 N 81.7976 W	2017-04-15						haploid
GCA_015520075.1	Candidatus Aenigmatarchaeota archaeon	3121606	S146_173_esom		2020-11-16	SAMN12837357	S146_173_esom		deep-sea hydrothermal deposit	Pacific Ocean	34.86208959 S 179.0573881 E	2018-03						haploid
GCA_015520105.1	Candidatus Aenigmatarchaeota archaeon	3121606	S146_145_esom		2020-11-16	SAMN12837356	S146_145_esom		deep-sea hydrothermal deposit	Pacific Ocean	34.86208959 S 179.0573881 E	2018-03						haploid
GCA_015521535.1	Candidatus Aenigmatarchaeota archaeon	3121606	S141_163_esom		2020-11-16	SAMN12837285	S141_163_esom		deep-sea hydrothermal deposit	Pacific Ocean	34.86111866 S 179.0576651 E	2018-03						haploid
GCA_015521825.1	Candidatus Aenigmatarchaeota archaeon	3121606	S140_133_esom		2020-11-16	SAMN12837270	S140_133_esom		deep-sea hydrothermal deposit	Pacific Ocean	34.86150855 S 179.0573001 E	2018-03						haploid
GCA_015522145.1	Candidatus Aenigmatarchaeota archaeon	3121606	S139_160_esom		2020-11-16	SAMN12837254	S139_160_esom		deep-sea hydrothermal deposit	Pacific Ocean	34.85791311 S 179.0519346 E	2018-03						haploid
GCA_015522155.1	Candidatus Aenigmatarchaeota archaeon	3121606	S139_161_esom		2020-11-16	SAMN12837253	S139_161_esom		deep-sea hydrothermal deposit	Pacific Ocean	34.85791311 S 179.0519346 E	2018-03						haploid
GCA_015522745.1	Candidatus Aenigmatarchaeota archaeon	3121606	S014_74_esom		2020-11-16	SAMN12837223	S014_74_esom		deep-sea hydrothermal deposit	Pacific Ocean	34.878368 S 179.071443 E	2018-03						haploid
GCA_015523085.1	Candidatus Aenigmatarchaeota archaeon	3121606	S013_79_esom		2020-11-16	SAMN12837207	S013_79_esom		deep-sea hydrothermal deposit	Pacific Ocean	34.86107892 S 179.0576362 E	2018-03						haploid
GCA_018221065.1	Candidatus Aenigmatarchaeota archaeon	3121606	DPANNHV_H2.bin.20		2021-04-30	SAMN13483420	DPANNHV_H2.bin.20		Hydrothermal vent sediments	Pacific Ocean: Okinawa Trough	25.1549 N 124.2223 E	2018-07-13						haploid
GCA_018920185.1	Candidatus Aenigmatarchaeota archaeon	3121606	QQ_2_bin_128		2021-06-16	SAMN19664510	QQ_2_bin_128		Hot spring sediment	China: Tengchong county, Yunnan, QQ pool	24.95 N 98.44 E	2017-05						haploid
GCA_018920245.1	Candidatus Aenigmatarchaeota archaeon	3121606	JZ-2_2_bin_245		2021-06-16	SAMN19664509	JZ-2_2_bin_245		Hot spring sediment	China: Tengchong county, Yunnan, JZ-2 pool	25.44111 N 98.46 E	2017-05						haploid
GCA_018920255.1	Candidatus Aenigmatarchaeota archaeon	3121606	DRTY-6_2_bin_215		2021-06-16	SAMN19664508	DRTY-6_2_bin_215		Hot spring sediment	China: Tengchong county, Yunnan, DRTY-6 pool	24.95 N 98.44 E	2017-05						haploid
GCA_018920285.1	Candidatus Aenigmatarchaeota archaeon	3121606	DRTY-6_2_bin_202		2021-06-16	SAMN19664507	DRTY-6_2_bin_202		Hot spring sediment	China: Tengchong county, Yunnan, DRTY-6 pool	24.95 N 98.44 E	2017-05						haploid
GCA_018920305.1	Candidatus Aenigmatarchaeota archaeon	3121606	GMQ_1_bin_18-1		2021-06-16	SAMN19664505	GMQ_1_bin_18-1		Hot spring sediment	China: Tengchong county, Yunnan, GMQS pool	24.95 N 98.45 E	2016-01						haploid
GCA_018920315.1	Candidatus Aenigmatarchaeota archaeon	3121606	DRTY-6_2_bin_201		2021-06-16	SAMN19664506	DRTY-6_2_bin_201		Hot spring sediment	China: Tengchong county, Yunnan, DRTY-6 pool	24.95 N 98.44 E	2017-05						haploid
GCA_018920345.1	Candidatus Aenigmatarchaeota archaeon	3121606	DRTY-7_1_bin_34		2021-06-16	SAMN19664504	DRTY-7_1_bin_34		Hot spring sediment	China: Tengchong county, Yunnan, DRTY-7 pool	24.95 N 98.44 E	2016-01						haploid
GCA_018920365.1	Candidatus Aenigmatarchaeota archaeon	3121606	DRTY-6_1_bin_65		2021-06-16	SAMN19664503	DRTY-6_1_bin_65		Hot spring sediment	China: Tengchong county, Yunnan, DRTY-6 pool	24.95 N 98.44 E	2016-01						haploid
GCA_021157705.1	Candidatus Aenigmatarchaeota archaeon	3121606	AUK115		2021-12-10	SAMN18353611	AUK115		marine hydrothermal sediment	Pacific Ocean: Mexico, Pescadero Basin	23.957043 N 108.862273 W	2015-04-18						haploid
GCA_021157845.1	Candidatus Aenigmatarchaeota archaeon	3121606	AUK108		2021-12-10	SAMN18353604	AUK108		marine hydrothermal sediment	Pacific Ocean: Mexico, Pescadero Basin	23.957043 N 108.862273 W	2015-04-18						haploid
GCA_021158665.1	Candidatus Aenigmatarchaeota archaeon	3121606	AUK066		2021-12-10	SAMN18353562	AUK066		marine hydrothermal sediment	Pacific Ocean: Mexico, Pescadero Basin	23.957043 N 108.862273 W	2015-04-18						haploid
GCA_021160745.1	Candidatus Aenigmatarchaeota archaeon	3121606	AUK268		2021-12-10	SAMN18353764	AUK268		marine hydrothermal sediment	Pacific Ocean: Mexico, Pescadero Basin	23.957043 N 108.862273 W	2015-04-18						haploid
GCA_021160955.1	Candidatus Aenigmatarchaeota archaeon	3121606	AUK256		2021-12-10	SAMN18353752	AUK256		marine hydrothermal sediment	Pacific Ocean: Mexico, Pescadero Basin	23.957043 N 108.862273 W	2015-04-18						haploid
GCA_021161005.1	Candidatus Aenigmatarchaeota archaeon	3121606	AUK255		2021-12-10	SAMN18353751	AUK255		marine hydrothermal sediment	Pacific Ocean: Mexico, Pescadero Basin	23.957043 N 108.862273 W	2015-04-18						haploid
GCA_021161725.1	Candidatus Aenigmatarchaeota archaeon	3121606	AUK219		2021-12-10	SAMN18353715	AUK219		marine hydrothermal sediment	Pacific Ocean: Mexico, Pescadero Basin	23.957043 N 108.862273 W	2015-04-18						haploid
GCA_021161745.1	Candidatus Aenigmatarchaeota archaeon	3121606	AUK218		2021-12-10	SAMN18353714	AUK218		marine hydrothermal sediment	Pacific Ocean: Mexico, Pescadero Basin	23.957043 N 108.862273 W	2015-04-18						haploid
GCA_021161995.1	Candidatus Aenigmatarchaeota archaeon	3121606	AUK206		2021-12-10	SAMN18353702	AUK206		marine hydrothermal sediment	Pacific Ocean: Mexico, Pescadero Basin	23.957043 N 108.862273 W	2015-04-18						haploid
GCA_021162085.1	Candidatus Aenigmatarchaeota archaeon	3121606	AUK200		2021-12-10	SAMN18353696	AUK200		marine hydrothermal sediment	Pacific Ocean: Mexico, Pescadero Basin	23.957043 N 108.862273 W	2015-04-18						haploid
GCA_021162425.1	Candidatus Aenigmatarchaeota archaeon	3121606	AUK182		2021-12-10	SAMN18353678	AUK182		marine hydrothermal sediment	Pacific Ocean: Mexico, Pescadero Basin	23.957043 N 108.862273 W	2015-04-18						haploid
GCA_021163005.1	Candidatus Aenigmatarchaeota archaeon	3121606	AUK155		2021-12-10	SAMN18353651	AUK155		marine hydrothermal sediment	Pacific Ocean: Mexico, Pescadero Basin	23.957043 N 108.862273 W	2015-04-18						haploid
GCA_021163145.1	Candidatus Aenigmatarchaeota archaeon	3121606	AUK147		2021-12-10	SAMN18353643	AUK147		marine hydrothermal sediment	Pacific Ocean: Mexico, Pescadero Basin	23.957043 N 108.862273 W	2015-04-18						haploid
GCA_021163205.1	Candidatus Aenigmatarchaeota archaeon	3121606	AUK145		2021-12-10	SAMN18353641	AUK145		marine hydrothermal sediment	Pacific Ocean: Mexico, Pescadero Basin	23.957043 N 108.862273 W	2015-04-18						haploid
GCA_021163805.1	Candidatus Aenigmatarchaeota archaeon	3121606	AUK047		2021-12-10	SAMN18353543	AUK047		marine hydrothermal sediment	Pacific Ocean: Mexico, Pescadero Basin	23.957043 N 108.862273 W	2015-04-18						haploid
GCA_012961245.1	Candidatus Altarchaeales archaeon	2250256	UWMA-0253		2020-05-04	SAMN10967590	UWMA-0253		Mid-Cayman Rise Vent Fluids	Atlantic Ocean:Mid Cayman Rise	18.375 N 81.7976 W	2017-04-15						haploid
GCA_015523055.1	Candidatus Altarchaeota archaeon	2599821	S014_51_esom		2020-11-16	SAMN12837210	S014_51_esom		deep-sea hydrothermal deposit	Pacific Ocean	34.878368 S 179.071443 E	2018-03						haploid
GCA_018220935.1	Candidatus Altarchaeota archaeon	2599821	DPANNHV_H2.bin.121		2021-04-30	SAMN13483416	DPANNHV_H2.bin.121		Hydrothermal vent sediments	Pacific Ocean: Okinawa Trough	25.1549 N 124.2223 E	2018-07-13						haploid
GCA_018220955.1	Candidatus Altarchaeota archaeon	2599821	DPANNHV_H2.bin.136		2021-04-30	SAMN13483417	DPANNHV_H2.bin.136		Hydrothermal vent sediments	Pacific Ocean: Okinawa Trough	25.1549 N 124.2223 E	2018-07-13						haploid
GCA_018221005.1	Candidatus Altarchaeota archaeon	2599821	DPANNHV_H2.bin.40		2021-04-30	SAMN13483418	DPANNHV_H2.bin.40		Hydrothermal vent sediments	Pacific Ocean: Okinawa Trough	25.1549 N 124.2223 E	2018-07-13						haploid
GCA_018221025.1	Candidatus Altarchaeota archaeon	2599821	DPANNHV_H2.bin.71		2021-04-30	SAMN13483419	DPANNHV_H2.bin.71		Hydrothermal vent sediments	Pacific Ocean: Okinawa Trough	25.1549 N 124.2223 E	2018-07-13						haploid
GCA_017799075.1	Candidatus Aramenus sp.	2811097	AZ2		2021-04-06	SAMN17975923	AZ2		geothermal field	Mexico: Los Azufres geothermal field	19.782018 N 100.657194 W	2016-05-27						haploid
GCA_012961435.1	Candidatus Bathyarchaeota archaeon	2026714	UWMA-0241		2020-05-04	SAMN10967579	UWMA-0241		Mid-Cayman Rise Vent Fluids	Atlantic Ocean:Mid Cayman Rise	18.375 N 81.7976 W	2017-04-15						haploid
GCA_012961545.1	Candidatus Bathyarchaeota archaeon	2026714	UWMA-0236		2020-05-04	SAMN10967574	UWMA-0236		Mid-Cayman Rise Vent Fluids	Atlantic Ocean:Mid Cayman Rise	18.375 N 81.7976 W	2017-04-15						haploid
GCA_012962085.1	Candidatus Bathyarchaeota archaeon	2026714	UWMA-0209		2020-05-04	SAMN10967548	UWMA-0209		Mid-Cayman Rise Vent Fluids	Atlantic Ocean:Mid Cayman Rise	18.375 N 81.7976 W	2017-04-15						haploid
GCA_012962485.1	Candidatus Bathyarchaeota archaeon	2026714	UWMA-0189		2020-05-04	SAMN10967530	UWMA-0189		Mid-Cayman Rise Vent Fluids	Atlantic Ocean:Mid Cayman Rise	18.375 N 81.7976 W	2017-04-15						haploid
GCA_012962555.1	Candidatus Bathyarchaeota archaeon	2026714	UWMA-0190		2020-05-04	SAMN10967531	UWMA-0190		Mid-Cayman Rise Vent Fluids	Atlantic Ocean:Mid Cayman Rise	18.375 N 81.7976 W	2017-04-15						haploid
GCA_013388895.1	Candidatus Bathyarchaeota archaeon	2026714	L.E.AR.33		2020-07-04	SAMN14673730	L.E.AR.33		hot spring sediment	Canada: Liard River	59.431 N 126.1 W	2018-08-27						haploid
GCA_013388905.1	Candidatus Bathyarchaeota archaeon	2026714	L.E.AR.18		2020-07-04	SAMN14673728	L.E.AR.18		hot spring sediment	Canada: Liard River	59.431 N 126.1 W	2018-08-27						haploid
GCA_014361045.1	Candidatus Bathyarchaeota archaeon	2026714	MAG-20		2020-09-01	SAMN15637570	MAG-20		Shengli oilfield at Shandong province	China:Dongying	38.15 N 118.5 E	2016-04-11						haploid
GCA_014859755.1	Candidatus Bathyarchaeota archaeon	2026714	Kmv02		2020-10-07	SAMN15871818	Kmv02		bubbling pool in the central crater-like structure of an active mud volcano	Ukraine: eastern Crimea	45.4261 N 36.4780 E	2019-05-18						haploid
GCA_014859805.1	Candidatus Bathyarchaeota archaeon	2026714	Kmv01		2020-10-07	SAMN15871817	Kmv01		bubbling pool in the central crater-like structure of an active mud volcano	Ukraine: eastern Crimea	45.4261 N 36.4780 E	2019-05-18						haploid
GCA_015520475.1	Candidatus Bathyarchaeota archaeon	2026714	S146_99_esom		2020-11-16	SAMN12837337	S146_99_esom		deep-sea hydrothermal deposit	Pacific Ocean	34.86208959 S 179.0573881 E	2018-03						haploid
GCA_018396395.1	Candidatus Bathyarchaeota archaeon	2026714	QZM_A2_bin_28		2021-05-18	SAMN18839120	QZM_A2_bin_28		hot spring sediment	China: QuZhuoMu village, CuoNa county,Tibet Plateau, QZM_A2 pool	28.25 N 91.81 E	2016-08						haploid
GCA_018396405.1	Candidatus Bathyarchaeota archaeon	2026714	JZ_bin_36.1		2021-05-18	SAMN18839110	JZ_bin_36.1		hot spring sediment	China: Tengchong county, Yunnan, JZ-2 pool	25.44111 N 98.46 E	2016-01						haploid
GCA_018396415.1	Candidatus Bathyarchaeota archaeon	2026714	JZ-2_2_bin_159		2021-05-18	SAMN18839137	JZ-2_2_bin_159		hot spring sediment	China: Tengchong county, Yunnan, JZ-2 pool	25.44111 N 98.46 E	2017-05						haploid
GCA_018396425.1	Candidatus Bathyarchaeota archaeon	2026714	QZM_A3_bin_30		2021-05-18	SAMN18839123	QZM_A3_bin_30		hot spring sediment	China: QuZhuoMu village, CuoNa county,Tibet Plateau, QZM_A3 pool	28.25 N 91.81 E	2016-08						haploid
GCA_018396435.1	Candidatus Bathyarchaeota archaeon	2026714	JZ-2_2_bin_4.3.1		2021-05-18	SAMN18839139	JZ-2_2_bin_4.3.1		hot spring sediment	China: Tengchong county, Yunnan, JZ-2 pool	25.44111 N 98.46 E	2017-05						haploid
GCA_018396495.1	Candidatus Bathyarchaeota archaeon	2026714	QZM_A3_bin_17		2021-05-18	SAMN18839122	QZM_A3_bin_17		hot spring sediment	China: QuZhuoMu village, CuoNa county,Tibet Plateau, QZM_A3 pool	28.25 N 91.81 E	2016-08						haploid
GCA_018396515.1	Candidatus Bathyarchaeota archaeon	2026714	QZM_A1_bin_46		2021-05-18	SAMN18839116	QZM_A1_bin_46		hot spring sediment	China: QuZhuoMu village, CuoNa county,Tibet Plateau, QZM_A1 pool	28.25 N 91.81 E	2016-08						haploid
GCA_018396535.1	Candidatus Bathyarchaeota archaeon	2026714	JZ_bin_32		2021-05-18	SAMN18839109	JZ_bin_32		hot spring sediment	China: Tengchong county, Yunnan, JZ-2 pool	25.44111 N 98.46 E	2016-01						haploid
GCA_018396555.1	Candidatus Bathyarchaeota archaeon	2026714	QZM_A2_bin_23		2021-05-18	SAMN18839118	QZM_A2_bin_23		hot spring sediment	China: QuZhuoMu village, CuoNa county,Tibet Plateau, QZM_A2 pool	28.25 N 91.81 E	2016-08						haploid
GCA_018396565.1	Candidatus Bathyarchaeota archaeon	2026714	QZM_A2_bin_35		2021-05-18	SAMN18839121	QZM_A2_bin_35		hot spring sediment	China: QuZhuoMu village, CuoNa county,Tibet Plateau, QZM_A2 pool	28.25 N 91.81 E	2016-08						haploid
GCA_018396595.1	Candidatus Bathyarchaeota archaeon	2026714	QZM_A3_bin_37		2021-05-18	SAMN18839124	QZM_A3_bin_37		hot spring sediment	China: QuZhuoMu village, CuoNa county,Tibet Plateau, QZM_A3 pool	28.25 N 91.81 E	2016-08						haploid
GCA_018396615.1	Candidatus Bathyarchaeota archaeon	2026714	QZM_B1_bin_37_1		2021-05-18	SAMN18839126	QZM_B1_bin_37_1		hot spring sediment	China: QuZhuoMu village, CuoNa county,Tibet Plateau, QZM_B1 pool	28.25 N 91.81 E	2016-08						haploid
GCA_018396635.1	Candidatus Bathyarchaeota archaeon	2026714	JZ_bin_36.2		2021-05-18	SAMN18839111	JZ_bin_36.2		hot spring sediment	China: Tengchong county, Yunnan, JZ-2 pool	25.44111 N 98.46 E	2016-01						haploid
GCA_018396655.1	Candidatus Bathyarchaeota archaeon	2026714	JZ_bin_36.3		2021-05-18	SAMN18839112	JZ_bin_36.3		hot spring sediment	China: Tengchong county, Yunnan, JZ-2 pool	25.44111 N 98.46 E	2016-01						haploid
GCA_018396675.1	Candidatus Bathyarchaeota archaeon	2026714	DRTY-6_2_bin_115		2021-05-18	SAMN18839130	DRTY-6_2_bin_115		hot spring sediment	China: Tengchong county, Yunnan, DRTY-6 pool	24.95 N 98.44 E	2017-05						haploid
GCA_018396695.1	Candidatus Bathyarchaeota archaeon	2026714	QZM_B1_bin_55		2021-05-18	SAMN18839127	QZM_B1_bin_55		hot spring sediment	China: QuZhuoMu village, CuoNa county,Tibet Plateau, QZM_B1 pool	28.25 N 91.81 E	2016-08						haploid
GCA_018396705.1	Candidatus Bathyarchaeota archaeon	2026714	DRTY-6_2_bin_98		2021-05-18	SAMN18839132	DRTY-6_2_bin_98		hot spring sediment	China: Tengchong county, Yunnan, DRTY-6 pool	24.95 N 98.44 E	2017-05						haploid
GCA_018396725.1	Candidatus Bathyarchaeota archaeon	2026714	JZ-2_2_bin_135		2021-05-18	SAMN18839135	JZ-2_2_bin_135		hot spring sediment	China: Tengchong county, Yunnan, JZ-2 pool	25.44111 N 98.46 E	2017-05						haploid
GCA_018396755.1	Candidatus Bathyarchaeota archaeon	2026714	QZM_A2_bin_24		2021-05-18	SAMN18839119	QZM_A2_bin_24		hot spring sediment	China: QuZhuoMu village, CuoNa county,Tibet Plateau, QZM_A2 pool	28.25 N 91.81 E	2016-08						haploid
GCA_018396775.1	Candidatus Bathyarchaeota archaeon	2026714	JZ-2_2_bin_164		2021-05-18	SAMN18839138	JZ-2_2_bin_164		hot spring sediment	China: Tengchong county, Yunnan, JZ-2 pool	25.44111 N 98.46 E	2017-05						haploid
GCA_018396795.1	Candidatus Bathyarchaeota archaeon	2026714	JZ-2_2_bin_4.3.2		2021-05-18	SAMN18839140	JZ-2_2_bin_4.3.2		hot spring sediment	China: Tengchong county, Yunnan, JZ-2 pool	25.44111 N 98.46 E	2017-05						haploid
GCA_018396815.1	Candidatus Bathyarchaeota archaeon	2026714	DRTY-6_2_bin_141		2021-05-18	SAMN18839131	DRTY-6_2_bin_141		hot spring sediment	China: Tengchong county, Yunnan, DRTY-6 pool	24.95 N 98.44 E	2017-05						haploid
GCA_018396825.1	Candidatus Bathyarchaeota archaeon	2026714	DGJ10_bin_21		2021-05-18	SAMN18839114	DGJ10_bin_21		hot spring sediment	China: DaGeJia village, AngRen county, Tibet Plateau, DGJ10 pool	29.60 N 85.75 E	2016-08						haploid
